Maladies,Symptomes,Traitement,Examens,Symptomes_lem_token,Symptomes_stem_token
glaucome,"vision floue ou réduite,vision des halos autour des lumières,maux de tête,nausées ou vomissements,œil rouge,perte de vision latérale (vision périphérique)","collyres,chirurgie au laser,chirurgie traditionnelle","mesure de la pression intraoculaire,examen du champ visuel,gonioscopie",vision floue maux nausée lumière œil périphérique réduite halo rouge tête vomissement latérale perte autour,vision floue maux roug pert lateral lumier vomis halo tete oeil nause peripheriqu reduit autour
leucémie,"fatigue intense,perte de poids inexpliquée,fièvre persistante ou fréquente,infections fréquentes,saignements ou ecchymoses faciles,ganglions lymphatiques enflés,douleurs osseuses ou articulaires,anémie","chimiothérapie,greffe de moelle osseuse,thérapie ciblée","analyse de sang (numération sanguine complète),biopsie de la moelle osseuse,imagerie médicale",intense persistante fréquente osseuse infection perte poid fréquente facile articulaire inexpliquée enflé fatigue saignement anémie maux ecchymosi ganglion lymphatique fièvre,enfl inten lymphatiqu ecchymo fatigu pert frequent maux poid facil anemi saigne infect inexplique articulair persistant osseu ganglion fievr
maladie de crohn,"diarrhée fréquente,douleurs abdominales,perte de poids inexpliquée,fatigue,fièvre,saignements rectaux,inflammation des articulations,ulcérations buccales","anti-inflammatoires,immunosuppresseurs,chirurgie","endoscopie,coloscopie,imagerie par résonance magnétique (irm)",poid rectaux saignement fréquente maux ventre diarrhée articulation ulcération buccale fièvre inexpliquée perte fatigue inflammation,rectaux inexplique pert fatigu inflamm ulcer diarrhe ventre frequent maux buccal poid articul fievr saigne
maladie d'alzheimer,"perte de mémoire,difficulté à se rappeler des informations récentes,confusion mentale,difficulté à effectuer des tâches familières,changements de personnalité,difficulté à trouver des mots,problèmes de jugement","médicaments antidémence,thérapie occupationnelle,soutien psychologique","évaluation cognitive,imagerie cérébrale,analyses de sang",difficulté changement problème familière juge trouver récente mot mentale effectuer confusion mémoire tâche rappeler perte information personnalité,inform recent pert juge difficult confu trouver memoir rappel familier problem change personnalit effectu mot tach mental
maladie de parkinson,"tremblements au repos,raideur musculaire,lenteur des mouvements,difficulté à commencer ou à arrêter un mouvement,problèmes d'équilibre,changements de l'expression faciale (masque parkinsonien)","médicaments dopaminergiques,thérapie physique,chirurgie cérébrale profonde","examen neurologique,imagerie cérébrale,tests sanguins",difficulté mouve changement problème expression parkinsonien musculaire arrêter équilibre tremblement raideur faciale commencer masque repo lenteur mouvement,mouve facial difficult musculair expres repo parkinsonien equilibr problem change commenc raideur tremble arret masqu lenteur
asthme,"essoufflement,toux fréquente, en particulier la nuit,sifflements ou respiration sifflante,sensation de serrement dans la poitrine,fatigue due à un effort physique","inhalateurs de corticostéroïdes,bronchodilatateurs,thérapie respiratoire","spirométrie,tests d'allergie,radiographie thoracique",sifflante serre fréquente toux sifflement sensation essouffle nuit poitrine due physique respiration effort fatigue particulier,essouffl siffle serre particuli fatigu sensat sifflant frequent poitrin nuit physiqu respir effort due toux
maladie cœliaque,"diarrhée chronique,douleurs abdominales,ballonnements,fatigue,perte de poids inexpliquée,anémie,irritabilité","régime sans gluten,suppléments nutritionnels,médicaments symptomatiques","analyse de sang (anticorps),biopsie de l'intestin grêle,tests génétiques",poid anémie maux ventre irritabilité diarrhée ballonnement inexpliquée perte fatigue chronique,inexplique fatigu pert diarrhe ventre maux poid chroniqu irritabilit ballonn anemi
fibromyalgie,"douleurs musculaires diffuses,fatigue généralisée,troubles du sommeil,raideur matinale,problèmes de concentration (brouillard cérébral),maux de tête","médicaments analgésiques,thérapie physique,thérapie cognitivo-comportementale","aucun test spécifique,diagnostic basé sur les symptômes",maux matinale problème concentration maux sommeil tête généralisée musculaire trouble raideur brouillard cérébral diffuse fatigue,maux fatigu musculair maux sommeil matinal tete cerebr problem concentr troubl brouillard generalise raideur diffu
arthrite rhumatoïde,"douleurs articulaires,raideur articulaire,enflure des articulations,fatigue,fièvre,perte d'appétit,nodules sous la peau","médicaments anti-inflammatoires,thérapie physique,médicaments antirhumatismaux","analyse de sang (facteur rhumatoïde),radiographie articulaire,échographie articulaire",nodule enflure appétit maux articulaire articulaire peau raideur articulation fièvre sou perte fatigue,appetit fatigu pert nodul enflur maux articul peau raideur fievr articulair sou
maladie cardiaque coronarienne,"douleur thoracique ou inconfort (angine de poitrine),essoufflement,fatigue,nausées,sueur excessive,douleur ou engourdissement dans les bras, le cou, la mâchoire ou le dos","médicaments anti-angineux,angioplastie coronarienne,bypass coronarien","électrocardiogramme (ecg),échocardiographie,cathétérisme cardiaque",nausée sueur excessive mâchoire maux angine thoracique bra poitrine do essouffle cou inconfort engourdisse fatigue,fatigu thoraciqu sueur exces engourdis angin machoir maux poitrin bra do cou nause inconfort essouffl
sclérose en plaques,"fatigue,problèmes de vision,engourdissements ou picotements,faiblesse musculaire,difficulté à coordonner les mouvements,troubles de la mémoire et de la concentration","médicaments immunomodulateurs,thérapie physique,médicaments symptomatiques","irm cérébrale et médullaire,ponction lombaire,électromyographie (emg)",vision difficulté problème concentration engourdissement faiblesse musculaire trouble mémoire picotement fatigue coordonner mouvement,vision mouve coordonn fatigu difficult engourdis picot musculair memoir problem concentr troubl faibles
tumeur du cerveau,"maux de tête persistants,nausées et vomissements,convulsions,changements dans la vision,problèmes d'équilibre et de coordination,changements de personnalité ou d'humeur,confusion ou désorientation,problèmes de mémoire,engourdissement ou faiblesse dans les bras ou les jambes,troubles du sommeil,difficultés d'élocution,vision floue ou double,changements dans la sensation ou le mouvement d'une partie du corps","chirurgie,radiothérapie,chimiothérapie","imagerie cérébrale (irm et scanner),biopsie,analyse sanguine",sommeil tête bra engourdisse personnalité maux changement vision problème humeur sensation mémoire désorientation convulsion mouve jambe trouble confusion difficulté vomissement coordination floue persistant nausée corp équilibre élocution faiblesse partie double,difficult sommeil convul bra problem coordin doubl persist maux vision humeur vomis memoir equilibr change troubl jamb parti desorient faibles mouve sensat elocut tete floue confu engourdis corp personnalit nause
cancer du col utérin,"saignements vaginaux anormaux,douleur pendant les rapports sexuels,douleur pelvienne,fatigue,perte de poids inexpliquée,écoulement vaginal anormal","chirurgie,radiothérapie,chimiothérapie","frottis cervico-utérin,colposcopie,biopsie",poid saignement pelvienne anormaux maux vaginaux écoule rapport vaginal sexuel anormaux inexpliquée perte fatigue,inexplique fatigu pert anormaux ecoul maux vagin vaginaux poid rapport pelvienn anorm saigne sexuel
cancer colorectal,"changements dans les habitudes intestinales,sang dans les selles,douleur abdominale,fatigue,perte de poids inexpliquée,anémie","chirurgie,chimiothérapie,radiothérapie","coloscopie,sigmoïdoscopie,analyses de sang",changement poid anémie ventre maux perte selle habitude intestinale inexpliquée sang fatigue,habitud inexplique fatigu pert ventre maux poid change intestinal anemi sell sang
cancer de l'endomètre,"saignements vaginaux anormaux,douleur pelvienne,douleur pendant les rapports sexuels,fatigue,perte de poids inexpliquée","chirurgie,radiothérapie,hormonothérapie","biopsie de l'endomètre,échographie pelvienne,imagerie médicale",poid saignement pelvienne anormaux maux vaginaux rapport sexuel inexpliquée perte fatigue,inexplique fatigu pert anormaux maux vaginaux poid rapport pelvienn saigne sexuel
cancer de l'estomac,"douleur abdominale,sensation de plénitude après un repas,perte d'appétit,perte de poids inexpliquée,difficulté à avaler","chirurgie,chimiothérapie,radiothérapie","endoscopie gastrique,biopsie,imagerie médicale",poid difficulté avaler appétit repa plénitude ventre maux sensation aprè inexpliquée perte,inexplique appetit pert sensat difficult aval ventre maux apr poid repa plenitud
cancer du foie,"douleur abdominale,gonflement de l'abdomen,jaunissement de la peau et des yeux (ictère),perte de poids inexpliquée,fatigue","chirurgie,transplantation hépatique,chimioembolisation","échographie abdominale,irm du foie,biopsie hépatique",poid gonfle ventre jaunisse maux yeux peau ictère inexpliquée perte fatigue,inexplique jaunis gonfle pert fatigu ventre maux icter poid yeux peau
tumeur stromale gastro-intestinale,"douleur abdominale ou inconfort,saignements gastro-intestinaux,anémie,fatigue,sensation de plénitude ou de satiété précoce","chirurgie,thérapie ciblée,chimiothérapie","endoscopie gastro-intestinale,biopsie,imagerie médicale",satiété saignement anémie plénitude ventre maux sensation précoce gastro inconfort intestinaux fatigue,anemi fatigu sensat ventre maux precoc plenitud gastro intestinaux inconfort saigne satiet
lymphomes,"gonflement indolore des ganglions lymphatiques (notamment au cou et aux aisselles ou à l'aine),fatigue,fièvre inexpliquée,perte de poids inexpliquée,sudation nocturne excessive","chimiothérapie,immunothérapie,radiothérapie","biopsie d'un ganglion lymphatique,scanner,irm",poid gonfle excessive sudation indolore notam perte nocturne cou lymphatique ganglion fièvre inexpliquée aisselle fatigue aine,inexplique gonfle fatigu pert exces sudat notam poid fievr nocturn cou ganglion lymphatiqu aissel ain indolor
carcinome hépatocellulaire,"douleur abdominale,gonflement de l'abdomen,perte de poids inexpliquée,fatigue,jaunissement de la peau et des yeux (ictère)","chirurgie,radiofréquence,greffe de foie","échographie du foie,scanner,irm",poid gonfle ventre jaunisse maux yeux peau ictère inexpliquée perte fatigue,inexplique jaunis gonfle pert fatigu ventre maux icter poid yeux peau
sarcome de kaposi,"lésions cutanées violettes, rouges ou brunes,gonflement des jambes ou des pieds,douleurs dans les jambes,essoufflement","thérapie antirétrovirale,chirurgie,radiothérapie","biopsie cutanée,analyse sanguine,imagerie médicale",lésion gonfle maux rouge cutanée jambe pied essouffle brune violette,lesion roug gonfle pie maux brune peau jamb violett essouffl
cancer du larynx,"enrouement persistant,changement dans la voix,douleur à la gorge ou à l'oreille,difficulté à avaler","chirurgie,radiothérapie,chimiothérapie","laryngoscopie,biopsie,imagerie médicale",difficulté persistant avaler oreille maux gorge change enroue voix,difficult aval maux change gorg oreil enroue voix persist
mésothéliome,"essoufflement,douleur thoracique,toux persistante,perte de poids inexpliquée,fatigue","chirurgie,chimiothérapie,thérapie ciblée","scanner thoracique,biopsie,imagerie médicale",poid persistante maux thoracique essouffle inexpliquée perte fatigue toux,essouffl inexplique persistant pert thoraciqu fatigu maux poid toux
cancer de l'œsophage,"difficulté à avaler (dysphagie),douleur ou sensation de brûlure derrière le sternum,perte de poids inexpliquée,toux persistante","chirurgie,chimiothérapie,radiothérapie","endoscopie digestive haute,biopsie,imagerie médicale",difficulté dysphagie poid avaler persistante derrière maux brûlure sensation sternum inexpliquée perte toux,inexplique persistant pert sensat aval difficult dysphagi maux poid brulur derrier sternum toux
ostéosarcome,"douleur osseuse, généralement dans les bras ou les jambes,gonflement autour des os affectés,fractures osseuses fréquentes,masse palpable sur les os,fractures spontanées","chirurgie,chimiothérapie,radiothérapie","radiographie,irm,biopsie",osseuse gonfle spontanée fréquente osseuse maux palpable fracture bra jambe affecté générale o masse autour,affect gonfle general maux frequent spontane o bra osseu jamb palpabl mas fractur autour
cancer de l'ovaire,"gonflement abdominal,douleur pelvienne ou abdominale,besoin fréquent d'uriner,sensation de satiété rapide en mangeant","chirurgie,chimiothérapie,hormonothérapie","échographie pelvienne,tomographie par émission de positons (tep),biopsie",satiété gonfle pelvienne ventre uriner maux rapide sensation besoin mangeant fréquent,gonfle sensat ventre maux frequent mangeant besoin pelvienn urin rapid satiet
cancer du pancréas,"douleur abdominale ou lombaire,perte de poids inexpliquée,jaunissement de la peau et des yeux (ictère),perte d'appétit","chirurgie,chimiothérapie,radiothérapie","scanner abdominal,irm,biopsie",poid appétit ventre jaunisse maux yeux peau ictère inexpliquée perte lombaire,inexplique jaunis appetit pert ventre maux icter poid yeux peau lombair
cancer de la peau,"changements dans la taille, la forme ou la couleur des grains de beauté ou des lésions cutanées,saignements ou démangeaisons persistantes,douleur,croissance rapide","chirurgie,radiothérapie,chimiothérapie","biopsie de la peau,dermatoscopie,imagerie médicale",changement croissance lésion saignement démangeaison forme beauté maux rapide taille cutanée grain couleur persistante,lesion persistant maux taill demangeaison grain croissanc change peau couleur form beaut rapid saigne
cancer de la bouche,"lésions buccales persistantes,difficulté à mâcher ou à avaler,douleur à l'oreille,masse ou enflure dans la bouche ou le cou","chirurgie,radiothérapie,chimiothérapie","examen buccal,biopsie,imagerie médicale",difficulté enflure lésion avaler oreille maux bouche mâcher cou buccale persistante masse,lesion bouch persistant difficult aval macher buccal maux enflur oreil cou mas
carcinome pulmonaire à petites cellules (cancer du poumon),"toux persistante,essoufflement,douleur thoracique,perte de poids inexpliquée,toux avec du sang","chirurgie,chimiothérapie,radiothérapie","scanner thoracique,biopsie pulmonaire,tomographie par émission de positons (tep)",poid persistante maux thoracique sang essouffle inexpliquée perte toux,inexplique persistant pert thoraciqu maux toux poid sang essouffl
cancer de la prostate,"besoin fréquent d'uriner,douleur ou sensation de brûlure pendant la miction,flux urinaire faible ou interrompu,sang dans l'urine ou le sperme,douleur dans le dos, les hanches ou le bassin","chirurgie,radiothérapie,hormonothérapie","dosage de l'antigène prostatique spécifique (psa),biopsie de la prostate,irm pelvienne",miction bassin uriner maux brûlure hanche sensation besoin interrompu sperme fréquent do urine flux sang faible urinaire,miction bassin sensat maux frequent sperm brulur besoin interrompu do urin hanch faibl flux sang urinair
cancer du rein,"douleur dans le dos ou sur le côté,masse abdominale palpable,sang dans l'urine,fatigue,perte de poids inexpliquée","chirurgie,immunothérapie,thérapie ciblée","imagerie rénale (irm et scanner),urographie intraveineuse,biopsie rénale",poid fatigue ventre maux palpable côté perte do urine inexpliquée sang masse,inexplique fatigu pert ventre maux poid do urin palpabl cote mas sang
cancer du testicule,"gonflement ou masse dans le testicule,douleur ou inconfort dans le testicule ou le scrotum,sensation de lourdeur dans le scrotum,douleur ou inconfort dans le bas du dos ou l'aine","chirurgie,chimiothérapie,radiothérapie","examen physique,échographie testiculaire,biopsie",gonfle lourdeur maux aine sensation testicule do ba inconfort masse scrotum,mas gonfle sensat lourdeur maux do ba testicul inconfort ain scrotum
cancer de la thyroïde,"gonflement ou bosse dans le cou,changements dans la voix,difficulté à avaler,douleur dans le cou","chirurgie,thyroïdectomie,radiothérapie","échographie thyroïdienne,scintigraphie thyroïdienne,biopsie à l'aiguille fine",changement difficulté gonfle avaler maux cou voix bosse,gonfle bos difficult aval maux change cou voix
sarcome des tissus mous,"masse ou gonflement indolore,douleur persistante,saignements inhabituels,fatigue","chirurgie,radiothérapie,chimiothérapie","biopsie,irm,scanner",persistante gonfle saignement fatigue maux indolore inhabituel masse,gonfle persistant fatigu inhabituel maux mas saigne indolor
carcinome de la vessie,"sang dans l'urine,douleur à la miction,besoin fréquent d'uriner,douleur pelvienne","chirurgie,chimiothérapie,immunothérapie","cystoscopie,urographie intraveineuse,biopsie de la vessie",miction pelvienne uriner maux besoin fréquent urine sang,miction maux frequent besoin pelvienn urin sang
myélome,"douleurs osseuses, surtout dans le dos ou les côtes,fatigue,fractures osseuses fréquentes,infections récurrentes,perte de poids inexpliquée","chimiothérapie,transplantation de cellules souches,thérapie ciblée","électrophorèse des protéines sériques et urinaires,biopsie de moelle osseuse,imagerie médicale",côte poid fréquente maux osseuse fracture infection perte do récurrente inexpliquée surtout fatigue,inexplique recurrent fatigu pert maux frequent poid do osseu cote surtout fractur infect
plasmocytome,"douleurs osseuses localisées,masse palpable sur les os,fractures osseuses,fatigue","chirurgie,radiothérapie,chimiothérapie","biopsie,imagerie médicale,analyse sanguine",fatigue maux osseuse palpable localisée fracture o masse,localise fatigu maux o osseu palpabl mas fractur
pneumonie,"fièvre,toux avec expectorations,douleur thoracique,difficulté à respirer","antibiotiques,antipyrétiques,repos","radiographie pulmonaire,analyse de sang",difficulté respirer expectoration maux thoracique fièvre toux,thoraciqu difficult maux expector fievr respir toux
bronchite,"toux persistante,production de mucosités,fatigue fièvre légère","repos,antitussifs,hydratation","analyse de crachat,radiographie pulmonaire si nécessaire",persistante toux légère production fièvre fatigue mucosité,persistant fatigu leger mucosit product fievr toux
otite,"douleur à l'oreille,fièvre perte auditive temporaire","antibiotiques (si bactérienne),analgésiques,gouttes auriculaires",examen de l'oreille par un professionnel de la santé,oreille maux temporaire fièvre auditive perte,pert maux oreil audit fievr temporair
méningite,"raideur de la nuque,maux de tête sévères fièvre,confusion","antibiotiques,traitement de support,hospitalisation","ponction lombaire,analyse de liquide céphalorachidien",maux tête sévère raideur confusion fièvre nuque,maux confu nuqu tete raideur fievr sever
angine,"maux de gorge,difficulté à avaler,fièvre ganglions enflés","antibiotiques (si bactérienne),antalgiques,gargarismes","examen de la gorge,analyse de la gorge pour détecter une infection bactérienne",maux difficulté avaler gorge enflé ganglion fièvre,maux aval difficult enfl gorg ganglion fievr
infections urinaires,"brûlures en urinant,besoin fréquent d'uriner,douleur pelvienne","antibiotiques,hydratation,repos","analyse d'urine,culture d'uriner",brûlure urinant pelvienne uriner maux besoin fréquent,frequent maux brulur besoin pelvienn urin
panaris,"rougeur et gonflement autour de l'ongle,douleur pulsatile","drainage de l'abcès, antibiotiques,repos","examen clinique,culture du pus si nécessaire",gonfle rougeur maux ongle pulsatile autour,ongl gonfle rougeur maux pulsatil autour
septicémie,"fièvre élevée,confusion,frissons,hypotension","antibiotiques par voie intraveineuse,soutien hémodynamique,soins intensifs","hémoculture,analyse de sang approfondie",élevée frisson confusion fièvre hypotension,frisson confu hypoten eleve fievr
varicelle,"éruption cutanée avec des démangeaisons,fièvre,maux de tête,fatigue","antihistaminiques,antipyrétiques,calamine pour les démangeaisons",les symptômes sont souvent suffisants pour le diagnostic,maux démangeaison tête cutanée éruption fièvre fatigue,maux fatigu erupt tete demangeaison peau fievr
rougeole,"éruption cutanée,fièvre élevée,toux,conjonctivite","repos,antipyrétiques,vitamine a en cas de carence","analyse de sang,observation des symptômes caractéristiques",élevée conjonctivite cutanée éruption fièvre toux,erupt conjonctivit peau eleve fievr toux
rubéole,"éruption cutanée légère,fièvre légère,ganglions enflés","repos,gestion des symptômes",analyse de sang pour détecter les anticorps,cutanée enflé ganglion éruption fièvre légère,leger erupt enfl peau ganglion fievr
coqueluche,"toux sévère par accès,éternuements,épuisement,vomissements après la toux","antibiotiques,vaccin de rappel",prélèvement de sécrétions nasales pour la culture,épuise accè sévère éternuement aprè vomissement toux,vomis apr epui eternu sever acc toux
oreillons,"gonflement des glandes salivaires,fièvre,douleur en mangeant ou en buvant","repos,antipyrétiques,compresses chaudes sur les glandes enflées",observation des symptômes caractéristiques,glan gonfle maux mangeant salivaire buvant fièvre,gonfle salivair maux mangeant gland buvant fievr
maladies cardiovasculaires,"douleur thoracique,essoufflement,fatigue,palpitations","médicaments antiplaquettaires,médicaments pour abaisser la pression artérielle","électrocardiogramme (ecg),échocardiographie",maux thoracique essouffle palpitation fatigue,palpit fatigu thoraciqu maux essouffl
accidents vasculaires cérébraux,"engourdissement,faiblesse soudaine,confusion,maux de tête sévères","thérapie de revascularisation,médicaments anticoagulants","tomographie par ordinateur (tdm) du cerveau,imagerie par résonance magnétique (irm)",maux tête confusion sévère faiblesse engourdisse soudaine,maux confu engourdis tete soudain sever faibles
cancer,"perte de poids inexpliquée,bosse anormale,fatigue persistante","chirurgie,chimiothérapie,radiothérapie","biopsie,imagerie médicale",poid persistante anormauxe bosse inexpliquée perte fatigue,inexplique persistant pert bos fatigu poid anormaux
diabète,"soif excessive,mictions fréquentes,fatigue,vision floue","insuline,médicaments hypoglycémiants","test de glycémie à jeun,test d'hémoglobine a1c",vision floue excessive miction fréquente soif fatigue,vision miction floue fatigu exces frequent soif
arthrite,"douleur articulaire,gonflement,raideur,fatigue","anti-inflammatoires,physiothérapie","analyse de sang,imagerie des articulations",gonfle maux articulaire raideur fatigue,gonfle fatigu maux raideur articulair
maux de dos,"douleur dans le bas du dos,raideur musculaire,douleur irradiant vers les jambes","repos,physiothérapie,médicaments analgésiques","radiographie de la colonne vertébrale,irm",ver maux musculaire jambe do irradiant ba raideur,musculair maux irradi do ver ba raideur jamb
dépression chronique,"tristesse persistante,perte d'intérêt,fatigue,troubles du sommeil","psychothérapie,antidépresseurs","entretien avec un professionnel de la santé mentale,questionnaires de dépistage",persistante sommeil trouble tristesse intérêt perte fatigue,persistant pert fatigu tristes sommeil troubl interet
paludisme,"fièvre,frissons,maux de tête,fatigue","antipaludiques,repos",test de dépistage du paludisme,maux frisson tête fièvre fatigue,maux fatigu frisson tete fievr
bilharziose (schistosomiase),"fièvre,toux,éruption cutanée,douleurs musculaires","antiparasitaires,antibiotiques",examen microscopique des selles ou de l'urine,maux cutanée musculaire éruption fièvre toux,erupt musculair maux peau fievr toux
trypanosomiase africaine,"fièvre,fatigue,maux de tête,ganglions enflés","médicaments antiparasitaires,antibiotiques",test sanguin,maux tête enflé ganglion fièvre fatigue,maux fatigu tete enfl ganglion fievr
maladie de chagas,"fièvre,fatigue,gonflement des paupières,troubles cardiaques","médicaments antiparasitaires,médicaments pour le cœur","test sanguin,électrocardiogramme (ecg)",gonfle cardiaque trouble fièvre fatigue paupière,cardiaqu gonfle fatigu troubl fievr paupier
leishmaniose (kala azar),"fièvre prolongée,perte de poids,anémie,enflure de la rate et du foie","médicaments antiparasitaires,traitement de support",aspiration de moelle osseuse,poid enflure anémie prolongée foie rate fièvre perte,pert enflur foie poid prolonge rate fievr anemi
